Table 1
group_Nr;M;A;FU;H;I;SU;N;S;C;L;D;P;MF;CP;Nr_of_Factor;ID;Tube.ID;Tea_bag_Nr;Decom;pH;WSA;;;;;;;
224;1;1;1;0;1;1;0;1;0;1;0;1;1;1;10;224;72;55;0,6305005039;6;0,54;;;;;;;
225;1;1;1;1;1;0;0;1;1;0;1;0;1;1;10;225;36;295;0,5959933222;5,57;0,57;;;;;;;
226;1;1;1;1;0;1;1;1;0;1;0;1;0;1;10;226;334;304;0,6575797872;5,98;0,45;;;;;;;
227;1;1;1;1;0;0;1;1;1;1;0;0;1;1;10;227;76;154;0,6421471173;5,55;0,67;;;;;;;
228;0;1;1;1;0;1;1;0;1;1;1;0;1;1;10;228;6;297;0,6268907563;5,62;0,49;;;;;;;
229;1;0;1;0;1;1;0;1;1;1;1;0;1;1;10;229;189;52;0,602960969;5,81;0,54;;;;;;;
230;1;0;1;0;1;1;1;1;1;1;1;1;0;0;10;230;116;124;0,5468177274;5,6;0,51;;;;;;;
231;0;1;1;0;0;1;0;1;1;1;1;1;1;1;10;231;295;256;0,6478873239;5,74;0,64;;;;;;;
232;1;0;1;1;1;1;0;1;0;1;0;1;1;1;10;232;239;166;0,6707682075;5,96;0,55;;;;;;;
233;1;1;0;1;1;0;0;0;1;1;1;1;1;1;10;233;88;280;0,6654399465;5,41;0,54;;;;;;;
234;1;1;0;1;1;1;1;1;1;0;0;0;1;1;10;234;177;101;0,6812749004;5,91;0,42;;;;;;;
235;0;1;1;1;1;1;1;1;1;0;1;1;0;0;10;235;313;113;0,600266489;5,59;0,61;;;;;;;
236;1;1;1;0;1;1;0;1;1;0;1;1;0;1;10;236;312;282;0,6309840426;5,64;0,44;;;;;;;
237;1;1;1;1;0;0;0;1;1;1;1;0;1;1;10;237;151;171;0,5858184228;5,61;0,66;;;;;;;
238;0;1;1;1;1;1;0;1;1;0;1;1;0;1;10;238;213;163;0,5968010663;5,74;0,51;;;;;;;
239;1;0;1;1;0;1;1;1;1;1;1;0;1;0;10;239;288;348;0,6033613445;5,64;0,53;;;;;;;
240;1;0;1;0;1;0;1;1;1;1;1;0;1;1;10;240;80;81;0,6558636819;5,62;0,50;;;;;;;
241;0;1;1;1;0;1;0;1;1;1;0;1;1;1;10;241;315;10;0,6923076923;6,87;0,57;;;;;;;
242;0;1;0;0;1;1;1;1;1;1;1;1;1;0;10;242;104;116;0,5673712021;NA;0,60;;;;;;;
243;1;0;0;1;1;0;1;1;1;0;1;1;1;1;10;243;321;340;0,6374423204;5,75;0,56;;;;;;;
244;1;1;1;1;1;1;0;0;0;0;1;1;1;1;10;244;323;71;0,7190635452;5,4;0,47;;;;;;;
245;1;1;1;1;1;1;0;0;1;1;0;1;0;1;10;245;171;283;0,6645421;5,76;0,75;;;;;;;
246;1;1;1;0;1;1;1;0;1;1;0;1;0;1;10;246;58;260;0,649766511;5,35;0,52;;;;;;;
247;0;1;1;1;1;1;1;0;0;1;1;0;1;1;10;247;126;24;0,6422601137;5,66;0,70;;;;;;;
248;1;0;1;1;1;0;1;1;1;1;0;0;1;1;10;248;322;40;0,6473719228;5,9;0,48;;;;;;;
249;0;0;1;1;1;1;1;0;0;1;1;1;1;1;10;249;299;57;0,7072521623;5,57;0,58;;;;;;;
250;1;1;1;0;1;0;0;0;1;1;1;1;1;1;10;250;196;248;0,6831220814;5,58;0,80;;;;;;;
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;251;135;3;0,7019423979;5,35;0,61;;;;;;;
2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;252;205;103;0,6979865772;5,2;0,64;;;;;;;
3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;253;245;183;0,6547100235;5,11;0,60;;;;;;;
4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;254;270;239;0,6908244681;5,25;0,70;;;;;;;
5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;255;21;324;0,6718017415;5,08;0,73;;;;;;;
6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;256;231;75;0,7126628801;NA;0,64;;;;;;;
7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;257;145;87;0,6941176471;4,91;0,63;;;;;;;
8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;258;278;77;0,6786072983;4,92;0,63;;;;;;;
9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;259;157;19;0,6584880637;4,96;0,61;;;;;;;
10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;260;195;218;0,685326267;5,17;0,66;;;;;;;
11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;261;311;86;0,7335109927;5,11;0,63;;;;;;;
12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;262;329;64;0,727484214;5,08;0,78;;;;;;;
13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;263;252;91;0,7465437788;5,29;0,59;;;;;;;
14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;264;192;118;0,7236097236;NA;0,59;;;;;;;
15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;265;43;44;0,7427330438;5,08;0,68;;;;;;;
16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;266;82;311;0,7357992074;4,98;0,67;;;;;;;
17;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;267;269;82;0,7080536913;5,25;0,65;;;;;;;
18;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;268;48;36;0,7239057239;4,99;0,66;;;;;;;
19;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;269;62;67;0,6867710763;4,83;0,73;;;;;;;
20;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;270;19;316;0,7101932045;5,21;0,76;;;;;;;
21;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;271;172;185;0,7003621995;5,12;0,60;;;;;;;
22;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;272;319;301;0,7144776621;4,93;0,61;;;;;;;
23;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;273;182;350;0,6942505816;4,72;0,82;;;;;;;
24;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;274;124;121;0,7327096559;4,96;0,53;;;;;;;
25;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;275;52;337;0,6986943421;4,6;0,70;;;;;;;
26;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;276;128;58;0,6602265157;5,2;0,74;;;;;;;
27;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;277;79;89;0,7304492512;4,99;0,70;;;;;;;
28;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;278;240;148;0,6954484605;5,4;0,68;;;;;;;
29;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;279;286;242;0,7000799787;5,05;0,74;;;;;;;
30;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;280;20;305;0,6723503845;5,08;0,69;;;;;;;
31;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;281;131;194;0,6823295831;5,18;0,73;;;;;;;
32;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;282;133;16;0,7301798801;5,29;0,77;;;;;;;
33;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;283;91;272;0,702540107;5,44;0,62;;;;;;;
34;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;284;161;6;0,692878839;5,01;0,63;;;;;;;
35;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;285;84;323;0,6866754617;4,58;0,63;;;;;;;
36;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;286;10;308;0,679251587;5,08;0,70;;;;;;;
37;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;287;327;53;0,7482610136;5,16;0,78;;;;;;;
38;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;288;254;4;0,6872942725;5,05;0,57;;;;;;;
39;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;289;75;268;0,6904840303;5,07;0,58;;;;;;;
40;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;290;339;56;0,6846996349;5,15;0,59;;;;;;;
41;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;291;256;192;0,6716917923;5,31;0,59;;;;;;;
42;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;292;150;303;0,7208374875;5;0,61;;;;;;;
43;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;293;242;92;0,6744966443;5,8;0,59;;;;;;;
44;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;294;208;187;0,6924603175;5,76;0,73;;;;;;;
45;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;295;349;190;0,6409749671;5,6;0,51;;;;;;;
46;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;296;57;313;0,6441515651;5,7;0,72;;;;;;;
47;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;297;3;285;0,6632210737;5,56;0,72;;;;;;;
48;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;298;108;62;0,6457219251;5,63;0,53;;;;;;;
49;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;299;345;130;0,7261189045;5,38;0,61;;;;;;;
50;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;300;144;126;0,6853029796;5,25;0,58;;;;;;;
51;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;301;169;74;0,6989745286;5,24;0,56;;;;;;;
52;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;302;59;338;0,7326732673;5,05;0,65;;;;;;;
53;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;303;61;219;0,6702198534;5,27;0,72;;;;;;;
54;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;304;304;39;0,6903399529;5,09;0,71;;;;;;;
55;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;305;14;277;0,69;5,19;0,73;;;;;;;
56;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;306;134;158;0,6448911223;4,77;0,83;;;;;;;
57;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;307;83;293;0,7008973081;4,99;0,70;;;;;;;
58;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;308;118;135;0,7296406198;5,13;0,55;;;;;;;
59;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;309;164;59;0,7394789579;NA;0,54;;;;;;;
60;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;310;350;37;0,699197861;5,25;0,54;;;;;;;
61;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;311;180;229;0,6663363066;5,42;0,65;;;;;;;
62;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;312;230;217;0,6384742952;5,33;0,48;;;;;;;
63;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;313;330;241;0,637029637;5,46;0,67;;;;;;;
64;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;314;33;157;0,6546052632;5,28;0,59;;;;;;;
65;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;315;125;249;0,6912751678;5,38;0,53;;;;;;;
66;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;316;215;1;0,6723503845;5,38;0,56;;;;;;;
67;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;317;35;257;0,7078576226;4,91;0,67;;;;;;;
68;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;318;200;224;0,7002997003;5,23;0,74;;;;;;;
69;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;319;155;43;0,6929238985;4,7;0,60;;;;;;;
70;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;320;277;286;0,7027741083;NA;0,52;;;;;;;
71;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;321;25;310;0,6875;5,13;0,55;;;;;;;
72;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;322;29;234;0,6875;5,26;0,77;;;;;;;
73;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;323;159;69;0,6665566193;4,99;0,62;;;;;;;
74;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;324;235;215;0,7321428571;4,99;0,75;;;;;;;
75;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;325;156;291;0,676989677;5,1;0,62;;;;;;;
76;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;326;194;326;0,6975739448;5,12;0,82;;;;;;;
77;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;327;68;17;0,6706586826;5,12;0,52;;;;;;;
78;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;328;170;292;0,6974789916;4,91;0,72;;;;;;;
79;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;329;94;263;0,7112512446;5,9;0,57;;;;;;;
80;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;330;47;232;0,6950613192;5,57;0,73;;;;;;;
81;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;331;16;300;0,6964698119;5,48;0,68;;;;;;;
82;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;332;31;27;0,704797048;5,4;0,72;;;;;;;
83;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;333;233;170;0,7021839841;NA;0,52;;;;;;;
84;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;334;246;136;0,7101932045;6,09;0,58;;;;;;;
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CK;335;227;223;0,7129506008;NA;0,73;;;;;;;
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CK;336;123;327;0,686882004;5,21;0,58;;;;;;;
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CK;337;115;21;0,6651038178;5,03;0,52;;;;;;;
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CK;338;191;172;0,7234255248;5;0,65;;;;;;;
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CK;339;122;205;0,6953465015;5,2;0,66;;;;;;;
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CK;340;307;175;0,6896665566;5,62;0,67;;;;;;;
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CK;341;225;197;0,6832277426;NA;0,52;;;;;;;
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CK;342;101;112;0,706959707;5;0,54;;;;;;;
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CK;343;53;96;0,6789142668;5,16;0,60;;;;;;;
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CK;344;219;212;0,7373737374;5,38;0,73;;;;;;;
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;WC;345;22;20;0,6948356808;5,1;0,63;;;;;;;
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;WC;346;54;119;0,6576032226;5,34;0,63;;;;;;;
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;WC;347;85;54;0,6790205162;4,98;0,63;;;;;;;
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;WC;348;197;115;0,6625868343;5,38;0,67;;;;;;;
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;WC;349;265;199;0,7543160691;5,2;0,59;;;;;;;
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;WC;350;340;240;0,7009966777;5,36;0,60;;;;;;;
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;WC;351;310;279;0,6665555185;5,15;0,62;;;;;;;
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;WC;352;292;12;0,698075647;5,41;0,65;;;;;;;
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;WC;353;276;236;0,6405777628;5,1;0,61;;;;;;;
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;WC;354;17;306;0,7065688563;5,29;0,71;;;;;;;
