Table 1
group_Nr;M;A;FU;H;I;SU;N;S;C;L;D;P;MF;CP;Nr_of_Factor;ID;Tube.ID;Tea_bag_Nr;Decom;pH;WSA;;;;;;;
52;1;0;1;1;0;0;0;1;0;1;0;1;1;0;7;52;264;168;0,6941489362;5,67;0,73;;;;;;;
53;1;0;0;1;1;0;1;1;0;0;1;1;0;0;7;53;283;196;0,6272666219;5,73;0,50;;;;;;;
54;1;0;1;1;0;0;1;0;0;1;0;0;1;1;7;54;140;145;0,723701731;5,98;0,68;;;;;;;
55;0;1;0;1;0;0;1;1;1;0;1;1;0;0;7;55;320;60;0,6202531646;5,51;0,72;;;;;;;
56;0;0;0;0;1;0;1;0;1;1;1;0;1;1;7;56;90;127;0,6435709527;5,48;0,50;;;;;;;
57;0;1;0;1;0;1;1;0;1;0;0;0;1;1;7;57;293;156;0,6454849498;5,96;0,81;;;;;;;
58;0;0;1;1;0;0;1;0;1;0;0;1;1;1;7;58;183;210;0,6926635823;5,84;0,69;;;;;;;
59;1;1;0;1;0;0;0;1;1;1;0;1;0;0;7;59;203;151;0,6356951872;5,6;0,67;;;;;;;
60;0;1;0;1;1;0;1;0;0;1;0;1;1;0;7;60;136;174;0,6937416778;5,21;0,61;;;;;;;
61;1;0;1;1;1;0;1;1;0;0;0;0;1;0;7;61;130;30;0,7015425889;5,77;0,60;;;;;;;
62;0;0;1;0;0;0;1;1;1;1;1;0;0;1;7;62;162;97;0,607514257;5,68;0,44;;;;;;;
63;1;0;1;1;0;1;0;0;1;0;1;0;1;0;7;63;347;28;0,7264337508;5,52;0,49;;;;;;;
64;1;1;1;1;0;0;0;0;1;0;1;0;1;0;7;64;282;222;0,6664442962;5,37;0,60;;;;;;;
65;1;0;1;1;1;0;0;1;1;1;0;0;0;0;7;65;223;181;0,6484767325;5,79;0,75;;;;;;;
66;1;0;1;1;1;0;0;0;1;0;1;0;0;1;7;66;229;22;0,6798932978;5,73;0,72;;;;;;;
67;0;0;0;1;0;0;1;0;1;1;1;1;0;1;7;67;267;61;0,6568954031;5,58;0,51;;;;;;;
68;0;0;1;0;1;1;1;1;0;1;0;0;1;0;7;68;153;176;0,6857238382;5,72;0,65;;;;;;;
69;0;0;0;0;1;0;1;1;1;0;1;0;1;1;7;69;120;114;0,5982591229;5,63;0,46;;;;;;;
70;1;1;0;0;0;1;0;1;1;0;1;0;0;1;7;70;232;33;0,6220735786;5,72;0,56;;;;;;;
71;0;1;1;0;0;0;1;0;0;1;1;1;0;1;7;71;12;319;0,705493051;5,74;0,55;;;;;;;
72;1;0;1;1;1;1;0;0;1;0;0;0;0;1;7;72;333;287;0,7050938338;5,84;0,52;;;;;;;
73;1;0;0;0;1;0;0;0;1;1;1;1;1;0;7;73;64;252;0,6830163497;5,43;0,59;;;;;;;
74;1;1;1;0;0;1;0;1;1;0;0;0;0;1;7;74;337;198;0,6372186765;5,72;0,68;;;;;;;
75;1;1;0;0;0;1;1;0;0;1;1;1;0;0;7;75;34;244;0,6984924623;5,32;0,54;;;;;;;
76;0;0;1;0;1;0;1;1;1;0;0;0;1;1;7;76;168;265;0,7083195227;5,98;0,56;;;;;;;
77;1;0;1;0;0;0;0;1;0;1;1;1;1;0;7;77;27;298;0,5802552048;5,67;0,62;;;;;;;
78;0;0;1;0;0;0;1;0;1;1;0;1;1;1;7;78;202;173;0,6734006734;5,88;0,69;;;;;;;
79;0;1;1;0;0;0;1;1;1;0;0;1;1;0;7;79;273;48;0,7071693033;5,54;0,39;;;;;;;
80;0;0;1;1;0;0;1;0;1;1;1;1;0;0;7;80;298;211;0,6715328467;6;0,60;;;;;;;
81;0;1;1;1;0;1;0;0;0;0;1;0;1;1;7;81;71;14;0,637150466;5,27;0,75;;;;;;;
82;1;1;0;1;0;0;1;0;1;0;1;1;0;0;7;82;92;235;0,656311963;5,46;0,54;;;;;;;
83;0;1;1;1;1;0;0;0;0;1;1;0;1;0;7;83;274;208;0,671911617;5,59;0,53;;;;;;;
84;1;1;0;0;0;1;1;0;0;0;1;1;1;0;7;84;8;332;0,660178159;5,45;0,52;;;;;;;
85;1;0;0;0;0;1;1;0;0;1;1;1;1;0;7;85;268;318;0,6693386774;5,61;0,67;;;;;;;
